п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
1;Муниципальное образовательное учреждение средняя общеобразовательная школа № 1 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Ополченская, д.42а;71-48-37
2;Муниципальное образовательное учреждение средняя общеобразовательная школа № 3 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Ополченская, д.1;74-01-32
3;Муниципальное образовательное учреждение средняя общеобразовательная школа № 4 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400017, Волгоград, ул. Тракторостроителей, д.15;74-01-85
4;Муниципальное образовательное учреждение средняя общеобразовательная школа № 12 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400015, Волгоград, пр-кт .им. В.И. Ленина, д.197б;76-54-40
5;Муниципальное образовательное учреждение средняя общеобразовательная школа № 17 им. 37-й Гвардейской стрелковой дивизии Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Дзержинского, д.40;74-06-65
6;Муниципальное образовательное учреждение средняя общеобразовательная школа № 18 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400093, Волгоград, ул. им. академика Богомольца, д.18;77-33-77
7;Муниципальное образовательное учреждение средняя общеобразовательная школа № 26 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. им. Дзержинского, д.68а;74-03-21
8;Муниципальное образовательное учреждение средняя общеобразовательная школа № 27 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400033, Волгоград, ул. им.Менжинского, д.6;79-24-27
9;Муниципальное образовательное учреждение средняя общеобразовательная школа № 29 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Дегтярева, д.10;74-02-94
10;Муниципальное образовательное учреждение средняя общеобразовательная школа № 45 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400125, Волгоград, ул. им.Грамши, д.31;70-12-06
